upload_asset,role,audited_source_asset,source_width_mm,source_height_mm,upload_width_mm,upload_height_mm,scale_factor,embedded_rasters,minimum_effective_raster_dpi,sha256,bytes
journal_upload_figures/figure_thesis_archived_bh.pdf,supplementary Figure S9,figures/figure_thesis_archived_bh.pdf,251.88,161.92,170.00,109.29,0.67491564,none (vector-only),not applicable,cc0a471a70389b2f36c1276b22966c29f4df6a59d3900dd56d0b90ba7d4d16b8,97517
journal_upload_figures/figureS7_thesis_dtu_attributes.pdf,supplementary Figure S5,figures/figureS7_thesis_dtu_attributes.pdf,254.00,254.00,170.00,170.00,0.66929134,none (vector-only),not applicable,b37aba00e118f6c8e32e62577e2ad1e260b419512ef34d51214251d875141d7f,181047
journal_upload_figures/figureS8_thesis_delayed_response.pdf,main Figure 4,figures/figureS8_thesis_delayed_response.pdf,209.55,164.75,170.00,133.65,0.81126223,none (vector-only),not applicable,4b94a57d232295103951d4fe4d38ee7222aac07ca6b61b1dbcf8a41966976cbc,144739
journal_upload_figures/figureS9_thesis_dmr_overview.pdf,"main Figure 7, top asset",figures/figureS9_thesis_dmr_overview.pdf,265.29,164.39,170.00,105.35,0.64081086,none (vector-only),not applicable,e672a011bd2b07ed3bc425d16fa96aa7bb0e2e98e1fa1208d7ec38025d118fd4,63532
journal_upload_figures/figureS10_thesis_dmr_temporal.pdf,"main Figure 7, bottom asset",figures/figureS10_thesis_dmr_temporal.pdf,340.43,169.33,170.00,84.56,0.49936763,/I0 73x360 px at 3.1x15.2 mm (601 effective dpi; two-dimensional raster),600.8,00f78a0a5ef6a8b4be50e4f3361f2481f682732c12065391a12e5617cae839e8,63755
journal_upload_figures/figureS11_thesis_switch_methylation.pdf,supplementary Figure S8,figures/figureS11_thesis_switch_methylation.pdf,203.20,152.40,170.00,127.50,0.83661417,none (vector-only),not applicable,1308e1ac275538ec5a1dc43c6adf24d82c6e149f702db0526b8ded49844fe2c4,468750
journal_upload_figures/figureS12_thesis_shtn1.pdf,main Figure 8; terminology-only overlay identifies relative transcript fraction,figures/figureS12_thesis_shtn1.pdf,238.12,252.59,170.00,180.33,0.71391076,none (vector-only),not applicable,ac28c558e9ecb0bd01c6796edb40a60c8efaef33ebf3e2519ccebaf2dd6411e1,2293081
journal_upload_figures/figure_thesis_isoform_counts.pdf,supplementary Figure S6,figures/figure_thesis_isoform_counts.pdf,299.16,173.57,170.00,98.63,0.56826623,none (vector-only),not applicable,7f5af63d104bdecab684f0d2d6b37ab08f79bd488f5acac6faa44c48e6a75115,101372
journal_upload_figures/figure_thesis_splicing_identity.pdf,main Figure 2,figures/figure_thesis_splicing_identity.pdf,296.33,270.58,170.00,155.23,0.57367829,/I0 73x360 px at 3.5x17.5 mm (523 effective dpi; two-dimensional raster),522.9,f72c0f61c454db09362270c443066c0568e6a4b379bc0372bf70c0d5ecb16b84,73253
journal_upload_figures/figure_thesis_temporal_events.pdf,supplementary Figure S7; E0 label corrected to E16.5 versus P0,figures/figure_thesis_temporal_events.pdf,243.06,145.34,170.00,101.65,0.69940459,none (vector-only),not applicable,f0bd1eb376399b630121abb59f51cbc22c1dfb0ce7ac78e9ba4e87de14135862,122603
journal_upload_figures/figure_thesis_archived_repif_bh.pdf,supplementary Figure S10,figures/figure_thesis_archived_repif_bh.pdf,251.88,161.92,170.00,109.29,0.67491564,none (vector-only),not applicable,9b4561fa508f4785b8e0adcddcffce01c6320a40726960739f2a87f6ebdde3d4,100186
journal_upload_figures/figure_thesis_midbrain_volcano.pdf,retained thesis asset; not displayed because its generic volcano axes do not match the correlation statistic,figures/figure_thesis_midbrain_volcano.pdf,381.00,304.80,170.00,136.00,0.44619423,none (vector-only),not applicable,ad411c87181d9e9b715c35a0c49a13bc1fb5184891edda2c48521d2062876ef6,1144739
journal_upload_figures/figure_thesis_weighted_candidates.pdf,supplementary Figure S11,figures/figure_thesis_weighted_candidates.pdf,254.00,304.80,170.00,204.00,0.66929134,none (vector-only),not applicable,74c2e9b5c04cea563d0b57718861b04a36b49eacc76e4928fb6ab0f78e7b7245,72439
journal_upload_figures/figureS7_thesis_hmm_enrichment.pdf,supplementary Figure S12,figures/figureS7_thesis_hmm_enrichment.pdf,204.96,200.38,170.00,166.20,0.82941440,/I1 473x73 px at 33.2x5.1 mm (362 effective dpi; two-dimensional raster),361.7,371070fb7b9c251ca9b0a91a7e94627fc6e816fc23165350fb0f02955d1b1bf0,97472
journal_upload_figures/figureS8_thesis_switch_hmm.pdf,supplementary Figure S13,figures/figureS8_thesis_switch_hmm.pdf,236.71,144.99,170.00,104.13,0.71816656,/I0 73x360 px at 4.4x21.9 mm (418 effective dpi; two-dimensional raster); /I1 73x360 px at 4.4x21.9 mm (418 effective dpi; two-dimensional raster),417.7,0f50f1c2b2fbe27d4558c1e26240d2f4566ad0c5b490415da7dc9e707775d118,113160
journal_upload_figures/figureS9_thesis_methylation_divergence.pdf,supplementary Figure S14,figures/figureS9_thesis_methylation_divergence.pdf,304.80,254.00,170.00,141.67,0.55774278,none (vector-only),not applicable,4bc422c9450b899174adea18b416398d35d8cff0656de18db9cf263d73362f23,302162
