"gene_id","gene_name","n_higher","n_lower","mean_higher_length_nt","mean_lower_length_nt","higher_minus_lower_nt"
"Ints10","Ints10",1,1,4201,4279,-78
"Itch","Itch",1,1,5187,5389,-202
"Ivns1abp","Ivns1abp",1,1,2793,3513,-720
"Kat7","Kat7",1,1,5966,5876,90
"Kazn","Kazn",1,1,3843,3428,415
"Kcnab2","Kcnab2",1,1,3591,3604,-13
"Kcnq2","Kcnq2",1,2,8227,5393.5,2833.5
"Kctd17","Kctd17",1,1,1743,1544,199
"Kdm2b","Kdm2b",1,1,5169,3520,1649
"Kif1b","Kif1b",1,1,7066,10274,-3208
"Kif21a","Kif21a",1,1,6128,6443,-315
"Kif2a","Kif2a",1,1,3711,4208,-497
"Kif3a","Kif3a",1,1,5441,5450,-9
"Kif5a","Kif5a",1,1,4279,6311,-2032
"Klc1","Klc1",1,2,2480,2397,83
"Lck","Lck",1,1,2171,2074,97
"Lcorl","Lcorl",1,1,4970,5630,-660
"Lhx2","Lhx2",1,1,2234,2295,-61
"Lhx9","Lhx9",1,1,2080,4551,-2471
"Lims1","Lims1",1,1,4473,4327,146
"Lppr3","Lppr3",1,1,3127,2766,361
"Lrrfip1","Lrrfip1",1,1,2849,2106,743
"Luc7l","Luc7l",1,1,2754,4977,-2223
"Macrod2","Macrod2",1,1,3552,1893,1659
"Mad2l2","Mad2l2",1,1,1232,1162,70
"Magi1","Magi1",2,2,7705,6143,1562
"Map3k12","Map3k12",1,1,5352,5528,-176
"Map4","Map4",2,1,5666,3517,2149
"Map6","Map6",1,1,2335,4962,-2627
"Mapk8ip1","Mapk8ip1",1,1,3226,2934,292
"Mapk8ip3","Mapk8ip3",1,2,5534,5498,36
"Mapk9","Mapk9",1,2,4677,4679.5,-2.5
"Mapre2","Mapre2",1,1,3936,4044,-108
"Mast2","Mast2",1,1,5706,5724,-18
"Mbnl2","Mbnl2",1,1,4499,4553,-54
"Mcf2l","Mcf2l",1,1,5182,5253,-71
"Mdp1","Mdp1",1,1,1733,1802,-69
"Meaf6","Meaf6",1,1,1070,1382,-312
"Med22","Med22",1,1,3466,1367,2099
"Mfn2","Mfn2",1,1,4559,4476,83
"Mfsd4","Mfsd4",1,1,2662,3838,-1176
"Mgat4c","Mgat4c",1,1,3734,4274,-540
"Miat","Miat",1,1,8716,8760,-44
"Midn","Midn",1,1,3727,3595,132
"Mlf1","Mlf1",1,1,1161,1116,45
"Mllt3","Mllt3",1,1,4785,6112,-1327
"Morf4l2","Morf4l2",1,1,1864,1787,77
"Mpdu1","Mpdu1",1,1,1326,1240,86
"Mpzl1","Mpzl1",1,1,2356,2250,106
"Mtss1","Mtss1",1,1,4975,4933,42
"Mtus1","Mtus1",1,1,4169,4156,13
"Myo18a","Myo18a",1,2,6333,7414,-1081
"Myo1b","Myo1b",1,1,4966,5053,-87
"Naa10","Naa10",1,1,1056,965,91
"Nadsyn1","Nadsyn1",1,1,2645,2466,179
"Ncam1","Ncam1",1,1,4885,6985,-2100
"Ncam2","Ncam2",1,1,4893,3565,1328
"Nckap1","Nckap1",1,1,4387,4405,-18
"Ncoa4","Ncoa4",1,1,3953,4043,-90
"Ndrg3","Ndrg3",1,1,2644,2683,-39
"Ndrg4","Ndrg4",1,1,2966,2927,39
"Neo1","Neo1",1,1,7305,7386,-81
"Nf2","Nf2",1,1,4773,4728,45
"Ngrn","Ngrn",1,1,1321,1718,-397
"Nin","Nin",2,1,8246.5,4723,3523.5
"Nnat","Nnat",1,1,1248,1167,81
"Nol4","Nol4",1,1,5028,3542,1486
"Nprl3","Nprl3",1,1,2865,2735,130
"Nr4a2","Nr4a2",1,1,3026,3172,-146
"Nrcam","Nrcam",1,1,7362,7572,-210
"Nrxn2","Nrxn2",1,1,6660,6060,600
"Nrxn3","Nrxn3",1,1,7920,5144,2776
"Nt5c2","Nt5c2",1,1,3769,4181,-412
"Ntrk2","Ntrk2",1,1,7030,8744,-1714
"Odf2","Odf2",1,1,2402,2248,154
"Ogdh","Ogdh",1,2,6615,6655.5,-40.5
"Ogt","Ogt",1,1,5397,5200,197
"Olfm1","Olfm1",1,1,2727,2686,41
"Opa1","Opa1",1,1,6002,5948,54
"Os9","Os9",1,1,4049,3884,165
"Osbpl9","Osbpl9",1,1,3148,3342,-194
"Paip1","Paip1",1,1,4676,4458,218
"Pak3","Pak3",1,1,8616,8352,264
"Palld","Palld",2,2,4972,4841,131
"Palm","Palm",1,1,2651,2519,132
"Parp6","Parp6",2,2,2577.5,2684,-106.5
"Pax6","Pax6",1,2,3485,3705,-220
"Pcdh10","Pcdh10",1,1,4638,8263,-3625
"Pcdh7","Pcdh7",1,1,5610,7741,-2131
"Pde1b","Pde1b",1,1,3205,3222,-17
"Pde4a","Pde4a",1,1,4653,4145,508
"Pde4b","Pde4b",2,1,4288.5,1374,2914.5
"Pde4dip","Pde4dip",2,1,8386.5,6200,2186.5
"Pdlim7","Pdlim7",1,1,912,1031,-119
"Pdp1","Pdp1",1,1,4198,4233,-35
"Pfkp","Pfkp",1,1,4033,4033,0
"Phka1","Phka1",1,1,5938,6115,-177
"Pigp","Pigp",1,1,738,907,-169
"Pigv","Pigv",1,1,2941,1819,1122
"Pitpnb","Pitpnb",1,1,2827,2742,85
"Pitpnm1","Pitpnm1",1,1,4206,4512,-306
"Pkig","Pkig",1,1,1148,1053,95
"Plekha6","Plekha6",1,1,7085,7397,-312
"Pnck","Pnck",1,1,1488,1564,-76
"Poglut1","Poglut1",1,1,2835,3038,-203
"Ppap2a","Ppap2a",1,1,1610,1613,-3
"Ppap2c","Ppap2c",1,1,1651,1499,152
"Ppfia1","Ppfia1",1,1,5259,5184,75
"Ppp1r18","Ppp1r18",1,1,3185,2671,514
"Ppp2r3a","Ppp2r3a",1,1,4758,6918,-2160
"Ppp2r5c","Ppp2r5c",1,1,4120,2368,1752
"Ppp3ca","Ppp3ca",1,1,4846,4816,30
"Prkacb","Prkacb",1,2,4328,4260.5,67.5
"Prkcz","Prkcz",1,1,4311,4111,200
"Prmt6","Prmt6",1,1,2475,3065,-590
"Ptbp1","Ptbp1",1,1,3108,3030,78
"Pth1r","Pth1r",1,1,2222,2255,-33
"Ptpn5","Ptpn5",1,1,3024,3132,-108
"Ptprs","Ptprs",2,1,6238.5,5641,597.5
"Pvrl2","Pvrl2",1,1,2735,1995,740
"Pxk","Pxk",1,1,2807,2840,-33
"Rab6a","Rab6a",1,1,3214,3214,0
"Rabgap1l","Rabgap1l",1,1,3373,6338,-2965
"Rai2","Rai2",1,1,2276,2198,78
"Ralyl","Ralyl",1,3,2426,2128,298
"Rasgrf1","Rasgrf1",1,1,4228,1000,3228
"Rbbp6","Rbbp6",1,1,6199,2272,3927
"Rcan1","Rcan1",1,1,2195,2349,-154
"Rhot1","Rhot1",1,1,4260,4137,123
"Rnf130","Rnf130",1,1,1525,1431,94
"Rnf14","Rnf14",1,1,2888,3040,-152
"Rph3a","Rph3a",1,1,4107,4149,-42
"Rpl30","Rpl30",1,1,519,575,-56
"Rps24","Rps24",2,1,856,857,-1
"Rufy3","Rufy3",1,2,3561,3896,-335
"Runx1t1","Runx1t1",1,1,7255,7517,-262
"Rusc1","Rusc1",1,1,1910,3370,-1460
"Rusc2","Rusc2",1,1,5301,5262,39
"Sars","Sars",1,1,3632,3704,-72
"Sbf1","Sbf1",1,1,6268,6190,78
"Schip1","Schip1",3,1,1932.33333333333,1625,307.333333333333
"Sema4a","Sema4a",1,1,3046,3125,-79
"Sept6","Sept6",1,1,3471,3550,-79
"Sept9","Sept9",2,1,3706,2946,760
"Serp2","Serp2",1,1,900,765,135
"Serpinb6a","Serpinb6a",1,1,1432,1504,-72
"Sgip1","Sgip1",2,1,5148,5004,144
"Sgk1","Sgk1",3,1,2507.33333333333,3105,-597.666666666667
"Sh2b1","Sh2b1",1,2,2993,3108,-115
"Sh3gl3","Sh3gl3",1,1,1575,1568,7
"Sh3glb2","Sh3glb2",1,2,1842,1818,24
"Sh3kbp1","Sh3kbp1",1,1,3721,5168,-1447
"Shtn1","Shtn1",1,1,4081,3767,314
"Slc25a25","Slc25a25",1,2,3306,3451.5,-145.5
"Slc37a4","Slc37a4",1,1,2348,2061,287
"Slc38a1","Slc38a1",1,1,7266,7059,207
"Slc38a10","Slc38a10",2,2,4566.5,4590.5,-24
"Slc41a3","Slc41a3",1,1,2225,2257,-32
"Slc44a2","Slc44a2",1,1,3459,3457,2
"Slco3a1","Slco3a1",1,1,2857,4697,-1840
"Smarcb1","Smarcb1",1,1,1630,1657,-27
"Smarcc2","Smarcc2",1,1,4593,4686,-93
"Smek1","Smek1",1,1,4594,4555,39
"Snap91","Snap91",2,2,3759.5,4337.5,-578
"Sncaip","Sncaip",1,1,3728,3624,104
"Snrpa","Snrpa",1,1,1366,1289,77
"Snx12","Snx12",1,1,1000,1124,-124
"Sorbs1","Sorbs1",1,1,6320,5471,849
"Sort1","Sort1",1,1,6831,6930,-99
"Spag9","Spag9",2,1,7368.5,6900,468.5
"Speg","Speg",1,1,1408,3395,-1987
"Sphk2","Sphk2",1,1,3552,3790,-238
"Spock1","Spock1",1,1,4665,4674,-9
"Spock3","Spock3",1,1,3087,3210,-123
"Sptan1","Sptan1",2,1,8050,8017,33
"Srsf11","Srsf11",1,1,3086,3068,18
"Ssbp2","Ssbp2",1,1,6656,6566,90
"Ssbp3","Ssbp3",1,1,3114,3195,-81
"Ssh2","Ssh2",1,1,9175,9039,136
"St6galnac4","St6galnac4",1,1,3641,3994,-353
"St7","St7",1,1,2141,2286,-145
"Stag2","Stag2",1,1,5826,5803,23
"Stoml1","Stoml1",1,1,2268,1988,280
"Stox2","Stox2",1,1,9316,10467,-1151
"Strn3","Strn3",1,1,3912,4164,-252
"Strn4","Strn4",1,1,3514,3535,-21
"Surf1","Surf1",1,1,1178,1218,-40
"Syn1","Syn1",1,1,3175,3213,-38
"Syn2","Syn2",1,1,3343,3858,-515
"Synj2bp-cox16","Synj2bp-cox16",1,1,2313,1056,1257
"Tacc2","Tacc2",1,1,3906,3940,-34
"Taok2","Taok2",1,1,5249,4985,264
"Tbc1d14","Tbc1d14",1,1,4590,3885,705
"Tbrg4","Tbrg4",1,1,2348,3139,-791
"Tcf12","Tcf12",2,1,4332,4029,303
"Tecr","Tecr",1,1,1174,1129,45
"Tenm2","Tenm2",1,1,9749,9656,93
"Tfdp2","Tfdp2",1,1,7383,6990,393
"Timm9","Timm9",1,1,797,883,-86
"Tmem201","Tmem201",1,1,3645,3721,-76
"Tmem33","Tmem33",1,1,5454,6247,-793
"Tmpo","Tmpo",1,1,3813,3243,570
"Tnrc18","Tnrc18",1,1,10304,6207,4097
"Tpbg","Tpbg",1,1,3509,3618,-109
"Tpd52","Tpd52",1,1,2266,2308,-42
"Tpd52l2","Tpd52l2",1,2,3520,3592,-72
"Tpm1","Tpm1",1,6,1210,1560.33333333333,-350.333333333333
"Tpm3","Tpm3",1,1,2329,2250,79
"Trim2","Trim2",1,1,7396,7190,206
"Triobp","Triobp",1,1,2555,3807,-1252
"Trip4","Trip4",1,1,6243,7162,-919
"Trpt1","Trpt1",1,1,1144,974,170
"Tsc22d3","Tsc22d3",2,1,2060.5,1789,271.5
"Tspan4","Tspan4",1,1,1470,1307,163
"Uap1","Uap1",1,1,3084,3033,51
"Ube2j2","Ube2j2",1,1,3357,3520,-163
"Ubl4a","Ubl4a",1,1,2317,2211,106
"Ugp2","Ugp2",1,1,2847,2657,190
"Usp14","Usp14",1,1,4185,4080,105
"Wars","Wars",1,1,1842,2831,-989
"Wdr61","Wdr61",1,1,1225,1331,-106
"Wdr73","Wdr73",1,1,2114,2587,-473
"Wsb1","Wsb1",1,1,2490,2343,147
"Yaf2","Yaf2",1,1,2248,2318,-70
"Ybx3","Ybx3",1,1,1655,1862,-207
"Zc3h14","Zc3h14",1,1,3556,3163,393
"Zfp239","Zfp239",1,1,2813,2633,180
"Zfp428","Zfp428",1,1,1204,1165,39
"Zfp451","Zfp451",1,1,4030,2077,1953
"Zfp60","Zfp60",1,1,3863,4057,-194
"Zfp606","Zfp606",1,1,2322,4736,-2414
"Zfp62","Zfp62",1,1,3927,4027,-100
"Zfyve27","Zfyve27",1,1,5475,5613,-138
"Zmynd11","Zmynd11",1,1,3952,4114,-162
"Zmynd8","Zmynd8",1,1,2718,5423,-2705
"Zrsr2","Zrsr2",1,1,2812,3935,-1123
"Zxdc","Zxdc",1,1,4122,5172,-1050
"Zyx","Zyx",1,1,2605,2512,93
