region,stage,experiment_accession,biological_replicate,technical_replicate,biosample_accession,library_accession,experiment_library_set,geo_series,replicate_linkage_status,metadata_basis,archive_input_linkage
Forebrain,E16.5,ENCSR080EVZ,1,1,ENCBS156DHU,ENCLB430WXG,,GSE78323,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E16.5,ENCSR080EVZ,2,1,ENCBS512LKA,ENCLB026UUS,,GSE78323,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,P0,ENCSR362AIZ,1,1,ENCBS033OJJ,ENCLB266LCY,,GSE78374,confirmed,"ENCODE-linked GEO series/sample record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,P0,ENCSR362AIZ,2,1,ENCBS804WMS,ENCLB055JUC,,GSE78374,confirmed,"ENCODE-linked GEO sample record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E10.5,ENCSR764OPZ,1,1,ENCBS491CAX,ENCLB257LEX,,GSE88517,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E10.5,ENCSR764OPZ,2,1,ENCBS613YYL,ENCLB396XZV,,GSE88517,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E11.5,ENCSR307BCA,1,1,ENCBS228OBS,ENCLB659UFY,,GSE78364,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E11.5,ENCSR307BCA,2,1,ENCBS802FTI,ENCLB426JKF,,GSE78364,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E12.5,ENCSR908JWT,1,1,ENCBS309WCU,ENCLB839VOV,,GSE83014,confirmed,"ENCODE replicate record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E12.5,ENCSR908JWT,2,1,ENCBS280TPA,ENCLB187TEZ,,GSE83014,confirmed,"ENCODE-linked GEO series and complementary replicate assignment; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E13.5,ENCSR792RJV,1,1,ENCBS185VNZ,ENCLB051RZO,,GSE78456,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E13.5,ENCSR792RJV,2,1,ENCBS725LVX,ENCLB426MFX,,GSE78456,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E14.5,ENCSR343YLB,1,1,ENCBS825LGT,ENCLB000EUQ,,GSE78371,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E14.5,ENCSR343YLB,2,1,ENCBS849BXE,ENCLB597GRF,,GSE78371,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E15.5,ENCSR557RMA,1,1,ENCBS190ETJ,ENCLB073YDX,,GSE78406,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E15.5,ENCSR557RMA,2,1,ENCBS381PEJ,ENCLB028XWK,,GSE78406,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E16.5,ENCSR367ZPZ,1,1,ENCBS684MLE,ENCLB733PDT,,GSE78378,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,E16.5,ENCSR367ZPZ,2,1,ENCBS463JSE,ENCLB841PIC,,GSE78378,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,P0,ENCSR719NAJ,1,1,ENCBS169PZD,ENCLB080NNG,,GSE78437,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Midbrain,P0,ENCSR719NAJ,2,1,ENCBS960FNV,ENCLB180OTB,,GSE78437,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E10.5,ENCSR943LKA,1,1,ENCBS626UIA,ENCLB554ZAM,,GSE88662,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E10.5,ENCSR943LKA,2,1,ENCBS723QMZ,ENCLB838FEJ,,GSE88662,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E11.5,ENCSR760TOE,1,1,ENCBS199NDR,ENCLB454ZUS,,GSE78450,confirmed,"ENCODE-linked GEO family SOFT record GSM2071562 (SRX1603250); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E11.5,ENCSR760TOE,2,1,ENCBS976DPO,ENCLB061TDP,,GSE78450,confirmed,"ENCODE-linked GEO family SOFT record GSM2071563 (SRX1603251); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E12.5,ENCSR420QTO,1,1,ENCBS406RIE,ENCLB408EFI,,GSE82680,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E12.5,ENCSR420QTO,2,1,ENCBS022IBY,ENCLB008IOE,,GSE82680,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E13.5,ENCSR921PRX,1,1,ENCBS052EWC,ENCLB312IAF,,GSE78481,confirmed,"ENCODE-linked GEO family SOFT record GSM2071630 (SRX1603311); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E13.5,ENCSR921PRX,2,1,ENCBS296PIR,ENCLB517UIN,,GSE78481,confirmed,"ENCODE-linked GEO family SOFT record GSM2071631 (SRX1603312); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E14.5,ENCSR559TRB,1,1,ENCBS909QXI,ENCLB989QNS,,GSE78409,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E14.5,ENCSR559TRB,2,1,ENCBS233QWW,ENCLB567WFL,,GSE78409,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,E15.5,ENCSR401BSG,1,1,ENCBS958AHU,ENCLB507CWD,,GSE78384,confirmed,"ENCODE-linked GEO family SOFT record GSM2071412 (SRX1603108); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E15.5,ENCSR401BSG,2,1,ENCBS948UKU,ENCLB614EHD,,GSE78384,confirmed,"ENCODE-linked GEO family SOFT record GSM2071413 (SRX1603109); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E16.5,ENCSR285WZV,1,1,ENCBS436LSH,ENCLB662TIG,,GSE78359,confirmed,"ENCODE-linked GEO family SOFT record GSM2071374 (SRX1603075); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,E16.5,ENCSR285WZV,2,1,ENCBS281ZLI,ENCLB987VRV,,GSE78359,confirmed,"ENCODE-linked GEO family SOFT record GSM2071375 (SRX1603076); local ENCODE report dated 2024-05-30","Experiment, biosample, library, and public SRA experiment confirmed; no surviving run manifest establishes the exact files used for the archived matrix"
Hindbrain,P0,ENCSR017JEG,1,1,ENCBS489BYD,ENCLB274VUA,,GSE78316,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Hindbrain,P0,ENCSR017JEG,2,1,ENCBS901BYV,ENCLB441AFS,,GSE78316,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
